dataset,split,model,seed,train_accuracy,train_f1,train_mcc,train_auprc,train_auroc,valid_accuracy,valid_f1,valid_mcc,valid_auprc,valid_auroc,test_accuracy,test_f1,test_mcc,test_auprc,test_auroc,train_brier,train_nll,train_ece,valid_brier,valid_nll,valid_ece,test_brier,test_nll,test_ece,train_mae,train_rmse,train_r2,valid_mae,valid_rmse,valid_r2,test_mae,test_rmse,test_r2,best_epoch,train_loss,train_runtime,train_samples_per_second,train_steps_per_second,train_epoch,valid_loss,valid_runtime,valid_samples_per_second,valid_steps_per_second,valid_epoch,test_loss,test_runtime,test_samples_per_second,test_steps_per_second,test_epoch
BBBP,random,random_forest,42,0.9993670886075948,0.99958071278826,0.9982918500185876,0.9999992979707142,0.99999891702459,0.8934010152284264,0.9361702127659576,0.6342967811972792,0.9636827042927694,0.8834793898085037,0.8888888888888888,0.929936305732484,0.6799047321230168,0.9784477557177302,0.939097222222222,0.0117461690937063,0.0768522027293645,0.0691417176163178,0.0947931822701754,0.3253524268604231,0.0754287509264199,0.0816480242836845,0.2699158358774967,0.0436045209932823,,,,,,,,,,,,,,,,,,,,,,,,,
BBBP,random,xgboost,42,0.9829113924050632,0.9887733887733888,0.9535423500985878,0.999602796181887,0.9987913994424844,0.868020304568528,0.91875,0.5689505097681538,0.9681599174400544,0.8862382343395002,0.8888888888888888,0.9294871794871796,0.6805555555555556,0.971876312855502,0.9255555555555556,0.017908041790782,0.0859434324998115,0.0583425998027566,0.104850555273096,0.3463958307897036,0.0869624876809604,0.0852759880630218,0.2889172167938917,0.0470630945731895,,,,,,,,,,,,,,,,,,,,,,,,,
BBBP,random,mlp,42,0.9569620253164556,0.9713322091062394,0.8852978043669524,0.994727018053936,0.9844712155965786,0.8375634517766497,0.8974358974358975,0.5084644398772541,0.9614424603688784,0.8675754625121714,0.8737373737373737,0.9174917491749176,0.6493636905574403,0.9684604840591104,0.9191666666666668,0.0373173872069356,0.1463238809578424,0.0447236997134507,0.1182221943768878,0.3940148511708504,0.1089524483038727,0.090304122845188,0.3072226203774619,0.0525436925753537,,,,,,,,,,2.0,,,,,,,,,,,,,,,
BBBP,random,gin,42,0.8936708860759494,0.9315960912052116,0.6995431518040247,0.9710506034076511,0.926761621950612,0.8781725888324873,0.9245283018867924,0.6091273325913404,0.9533043924051924,0.8828302499188576,0.8787878787878788,0.9230769230769232,0.65,0.9591192930022924,0.8973611111111112,0.0813913214029538,0.2757050575991336,0.0177013814334368,0.0921030631983545,0.3261312455441128,0.0496679818609889,0.0978511905451428,0.3250644826509102,0.0445036038173117,,,,,,,,,,41.0,,,,,,,,,,,,,,,
BBBP,scaffold,random_forest,42,0.9974683544303796,0.9983319432860718,0.9931064201765988,0.9999917035175996,0.9999780306209204,0.8629441624365483,0.9158878504672896,0.5824922362307989,0.9412224648024368,0.8987906708897206,0.8484848484848485,0.906832298136646,0.5571842574790943,0.9520230718824656,0.8748801534036433,0.0116380238468547,0.0735328359165846,0.0638172287022444,0.0930173493379022,0.3195010200230503,0.070058385670938,0.1175530646572553,0.3811550344057101,0.0492301687553902,,,,,,,,,,,,,,,,,,,,,,,,,
BBBP,scaffold,mlp,42,0.9867088607594936,0.9912609238451936,0.9635213144808356,0.9992878108861885,0.9975086724123916,0.8781725888324873,0.9245283018867924,0.6343333292080526,0.95925041501876,0.9060610423265189,0.8282828282828283,0.8888888888888888,0.5156517421246019,0.9445557833424396,0.8664566497740036,0.0114324003011294,0.0490414431426604,0.0136745228441927,0.0988206428605809,0.4329116875097255,0.0861897556101368,0.1362381766299817,0.6003114061832094,0.132001454414694,,,,,,,,,,4.0,,,,,,,,,,,,,,,
BBBP,scaffold,xgboost,42,0.980379746835443,0.987195373812474,0.9457903343900556,0.9995753725497154,0.9986455877797524,0.868020304568528,0.9182389937106918,0.600938442555464,0.9364484165342076,0.8842499280161245,0.8585858585858586,0.9113924050632912,0.5902781554492853,0.948288174094286,0.865360909464457,0.0187951348504647,0.0854102827542211,0.0526591459407082,0.0973609077162677,0.3521177555724709,0.0701234129252772,0.1212260655096002,0.4010224502895747,0.0872396565597466,,,,,,,,,,,,,,,,,,,,,,,,,
BBBP,scaffold,gin,42,0.9120253164556962,0.9436562626672071,0.7491117150884814,0.9878567311761096,0.9637230627950762,0.8730964467005076,0.9201277955271564,0.622405354244966,0.9303254432259892,0.8783472502159515,0.8383838383838383,0.8961038961038961,0.5399373341750976,0.941563312907826,0.8644021366936037,0.0619293116454908,0.206347725134967,0.0267757609013278,0.0938141553369434,0.3853939786129354,0.0554573401994333,0.118201019939278,0.409824192219159,0.0569467175627865,,,,,,,,,,78.0,,,,,,,,,,,,,,,
BBBP,scaffold,chemberta,42,0.8765822784810127,0.923917284432306,0.6391198812687598,0.9675539649815662,0.9140909400477616,0.868020304568528,0.9182389937106918,0.600938442555464,0.9332923009423968,0.8813705729916499,0.8484848484848485,0.9056603773584906,0.5568536968580606,0.9203529352652178,0.8257772907820846,0.0907555926171689,0.3012444310593345,0.0313960036993781,0.0948732506205246,0.3320627909605301,0.0436327276647393,0.1231582105280837,0.4117736548947088,0.0692454638956773,,,,,,,,,,,0.301246166229248,1.6462,959.798,60.139,10.0,0.3320692777633667,0.2174,906.356,59.81,10.0,0.4117582738399505,0.2169,912.658,59.922,10.0
BBBP,scaffold,gcn,42,0.7803797468354431,0.8704740574841359,0.2565392298953062,0.9115261096700826,0.7823471645220892,0.7868020304568528,0.8757396449704142,0.2549924481856089,0.9138050351606378,0.802476245321048,0.7727272727272727,0.8656716417910447,0.2467294945636523,0.8591799499781178,0.7103136556636078,0.1485460012440445,0.4589183154507477,0.0616445925039581,0.1425646497931191,0.4460564072799211,0.0738681972329386,0.1621044332751923,0.5015624511491154,0.0464257850791468,,,,,,,,,,7.0,,,,,,,,,,,,,,,
