dataset,split,model,seed,train_accuracy,train_f1,train_mcc,train_auprc,train_auroc,valid_accuracy,valid_f1,valid_mcc,valid_auprc,valid_auroc,test_accuracy,test_f1,test_mcc,test_auprc,test_auroc,train_brier,train_nll,train_ece,valid_brier,valid_nll,valid_ece,test_brier,test_nll,test_ece,train_mae,train_rmse,train_r2,valid_mae,valid_rmse,valid_r2,test_mae,test_rmse,test_r2,best_epoch,train_loss,train_runtime,train_samples_per_second,train_steps_per_second,train_epoch,valid_loss,valid_runtime,valid_samples_per_second,valid_steps_per_second,valid_epoch,test_loss,test_runtime,test_samples_per_second,test_steps_per_second,test_epoch
ClinTox,scaffold,xgboost,42,0.9974293059125964,0.98159509202454,0.980405674773598,0.9921643367108988,0.998577335170942,0.9383561643835616,0.0,-0.0299850112406331,0.1619164619164619,0.8547619047619047,0.9246575342465754,0.4761904761904761,0.4713132776532165,0.4713603212157231,0.7646103896103896,0.0043774722289284,0.0265674046468677,0.0182243762314383,0.0510707049272738,0.1770566770846623,0.0490153842822533,0.0718408922557169,0.3227347071914991,0.0685111959401058,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,xgboost,123,0.9974293059125964,0.98159509202454,0.980405674773598,0.9921706053640448,0.998632908015827,0.9383561643835616,0.0,-0.0299850112406331,0.171541371869652,0.8630952380952381,0.9315068493150684,0.5,0.5184917989895885,0.4742147052146778,0.7813852813852814,0.0043373752594217,0.0263683603033596,0.0180368810962333,0.0463410808095101,0.1613580460718152,0.0473662173273424,0.0689710936808077,0.3072058092032505,0.0665911965021123,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,xgboost,3407,0.9974293059125964,0.98159509202454,0.980405674773598,0.9925609948659424,0.9987551682745744,0.9383561643835616,0.0,-0.0299850112406331,0.1481177606177606,0.8511904761904762,0.9246575342465754,0.4761904761904761,0.4713132776532165,0.4898916347035538,0.7608225108225108,0.0043727701612925,0.0264284103093661,0.0180981728585872,0.0497175892792166,0.1737294348589928,0.049338696345891,0.0718293703590005,0.322903761441132,0.0682397664920107,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,xgboost,9999,0.996572407883462,0.9753086419753086,0.973811037949809,0.9924301527661884,0.9986940381452007,0.9383561643835616,0.0,-0.0299850112406331,0.1612662929725748,0.8642857142857143,0.9315068493150684,0.5,0.5184917989895885,0.4790895174028735,0.7532467532467533,0.004380153300284,0.0264438495036951,0.0180286977363506,0.0486241688190172,0.1652381890545272,0.0568214421964263,0.0720231626703384,0.3281094358639994,0.0753410689736882,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,xgboost,2024,0.9974293059125964,0.98159509202454,0.980405674773598,0.992755991801705,0.9988329702574134,0.9315068493150684,0.0,-0.0347454092041608,0.1545162045162045,0.8595238095238096,0.9315068493150684,0.5,0.5184917989895885,0.4804593868711386,0.7608225108225107,0.0043586235551823,0.026242585661417,0.0179223595402541,0.0499947195124241,0.1721550829661411,0.0525005552662561,0.0693285342591753,0.3193231919851547,0.0723965867511825,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,random_forest,42,0.998286203941731,0.988095238095238,0.9872532511893478,0.9989905903598948,0.9999333125861378,0.952054794520548,0.0,-0.0171920476518375,0.0876446346079114,0.6642857142857144,0.9041095890410958,0.0,0.0,0.4770615326187252,0.762987012987013,0.0072972789494981,0.0442435998283519,0.0374393236854211,0.0460426900589914,0.1894352831864139,0.0492734569125395,0.0740565956867525,0.2654708935699051,0.0380068452749057,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,random_forest,123,0.998286203941731,0.988095238095238,0.9872532511893478,0.9995713541622194,0.999977770862046,0.952054794520548,0.0,-0.0171920476518375,0.0887463840420829,0.6720238095238096,0.9041095890410958,0.0,0.0,0.488958338304712,0.7751623376623376,0.0073602074700982,0.0450593462684602,0.0389550587698157,0.0463083613844107,0.1908220111791241,0.0519563080134828,0.0742123245894343,0.2646334000295456,0.0391863953907626,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,random_forest,3407,0.998286203941731,0.988095238095238,0.9872532511893478,0.998972570682561,0.999933312586138,0.952054794520548,0.0,-0.0171920476518375,0.0896302764544512,0.6636904761904762,0.910958904109589,0.1333333333333333,0.2549992755712689,0.5178395819323752,0.7878787878787878,0.0075417516449125,0.0454044016520339,0.0384001102848564,0.0458663138991659,0.1888998802378994,0.050967835640925,0.0730555733058524,0.2598263352550209,0.0372315304044284,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,random_forest,9999,0.998286203941731,0.988095238095238,0.9872532511893478,0.998665405817814,0.9999110834481838,0.952054794520548,0.0,-0.0171920476518375,0.0945973550638622,0.7035714285714286,0.9041095890410958,0.0,0.0,0.490944786568629,0.7732683982683982,0.0076337748387501,0.0455765948027145,0.0388675427449406,0.0453016715076811,0.1850755942755784,0.0472803795840503,0.0744186400543012,0.2648884730980582,0.0332915727187652,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTox,scaffold,random_forest,2024,0.998286203941731,0.988095238095238,0.9872532511893478,0.9995713541622194,0.999977770862046,0.952054794520548,0.0,-0.0171920476518375,0.0913631276590561,0.6761904761904762,0.910958904109589,0.1333333333333333,0.2549992755712689,0.5023949014704411,0.7616341991341992,0.0072758980462544,0.0450762187944949,0.0390215809413884,0.046231968558063,0.1901491468305565,0.0515462173459735,0.072787199688481,0.2638663204372158,0.039087411031671,,,,,,,,,,,,,,,,,,,,,,,,,
